label,alg,district,baseline,best_reward,final_reward,best_step,n_eval_points,best_delta,final_delta
Bandit TopK12 all,Contextual Bandit,마포구,-490.3667980298629,-769.9947832424834,-791.5300028742388,60000,9,-279.62798521262056,-301.1632048443759
Bandit TopK12 all,Contextual Bandit,서대문구,-139.25862312292162,-204.44751638834688,-207.5935999339679,80000,9,-65.18889326542526,-68.33497681104629
Bandit TopK12 all,Contextual Bandit,서초구,-173.73157119184765,-270.566930565241,-295.2151410698555,40000,9,-96.83535937339337,-121.48356987800787
Bandit TopK12 all,Contextual Bandit,성동구,-594.8518857697841,-1002.2563975076754,-1042.8199213551009,20000,9,-407.4045117378913,-447.9680355853168
Bandit TopK12 all,Contextual Bandit,성북구,-102.0627157134765,-156.44635968614153,-163.0210442616009,60000,9,-54.38364397266503,-60.9583285481244
Bandit TopK12 all,Contextual Bandit,송파구,-1225.7996363883465,-1982.9235391747202,-2004.806515657303,20000,9,-757.1239027863737,-779.0068792689565
Bandit TopK12 all,Contextual Bandit,양천구,-1083.3153729974601,-1566.115952735238,-1626.5827400339792,20000,9,-482.80057973777775,-543.2673670365191
Bandit TopK12 all,Contextual Bandit,영등포구,-1896.9705988373582,-2478.6029145004745,-2513.0675420356824,20000,9,-581.6323156631163,-616.0969431983242
Bandit TopK12 all,Contextual Bandit,용산구,-66.89860792865139,-103.8881045764833,-108.97959941894045,60000,9,-36.98949664783191,-42.080991490289065
Bandit TopK12 all,Contextual Bandit,은평구,-150.21607343804496,-265.499251785308,-294.49446890550473,20000,9,-115.28317834726303,-144.27839546745977
Bandit TopK12 all,Contextual Bandit,종로구,-268.2836955125016,-408.0627594989897,-429.31141694809673,20000,9,-139.7790639864881,-161.02772143559514
Bandit TopK12 all,Contextual Bandit,중구,-182.61475511225203,-252.38958564861218,-277.99983237824415,20000,9,-69.77483053636016,-95.38507726599212
Bandit TopK12 all,Contextual Bandit,중랑구,-161.6356754974581,-280.6360738101898,-308.3204699442769,20000,9,-119.00039831273173,-146.6847944468188
