district,k,seed,timesteps,eval_reward,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,policy_gradient_loss,value_loss,baseline,eval_delta
마포구,3,777,80000.0,-445.79867892571855,1.3998476788401604e-05,0.0,0.1,-0.8854214549064636,0.40117621421813965,0.0001,669.0956420898438,4.1392166167497635e-05,1648.2200073242188,-490.3667980298629,44.56811910414433
마포구,3,777,100000.0,-448.8134062920754,1.7061480320990086e-05,0.0,0.1,-0.8833750307559967,0.4895325303077698,0.0001,1000.5990600585938,-0.00012550652027130127,1799.6688232421875,-490.3667980298629,41.55339173778748
마포구,3,777,120000.0,-452.6583788799561,0.00019761838484555483,0.0,0.1,-0.894689393043518,0.913999617099762,0.0001,18.821083068847656,-0.0010596142150461675,44.46134262084961,-490.3667980298629,37.708419149906774
마포구,3,777,140000.0,-445.79867892571855,9.86544182524085e-06,0.0,0.1,-0.6907002866268158,0.6412631273269653,0.0001,126.18150329589844,-0.00041799452155828477,357.8082794189453,-490.3667980298629,44.56811910414433
마포구,3,777,160000.0,-445.6297512443205,6.764475256204605e-05,0.0,0.1,-0.8544046580791473,0.8625212907791138,0.0001,122.17576599121094,-0.0008941128849983216,287.4112030029297,-490.3667980298629,44.73704678554236
마포구,3,777,170000.0,-445.79867892571855,0.000470647937618196,0.0,0.1,-0.819632625579834,0.5407179594039917,0.0001,1792.0240478515625,-0.0009413652122020721,3774.345166015625,-490.3667980298629,44.56811910414433
송파구,3,123,20000.0,-1190.149014591007,4.365341737866402e-06,0.0,0.1,-1.0050896465778352,-6.4373016357421875e-06,0.0001,348.2892761230469,-0.0001977461390197277,680.3513671875,-1225.7996363883465,35.650621797339454
송파구,3,123,40000.0,-1197.9681572956624,9.266659617424011e-08,0.0,0.1,-0.8630789577960968,3.8504600524902344e-05,0.0001,1887.50146484375,-2.405717968940735e-05,4291.910595703125,-1225.7996363883465,27.83147909268405
송파구,3,123,60000.0,-1243.371891453659,3.1718285754323006e-05,0.0,0.1,-0.8729796946048737,3.808736801147461e-05,0.0001,862.42138671875,-0.00029743460472673176,1848.3138671875,-1225.7996363883465,-17.572255065312447
송파구,3,123,80000.0,-1240.9013358146067,6.437604315578938e-05,0.0,0.1,-0.7552727162837982,6.109476089477539e-05,0.0001,403.46392822265625,0.00017883870750665665,787.1288879394531,-1225.7996363883465,-15.101699426260211
송파구,3,123,100000.0,-1178.7631978391557,7.043464574962854e-05,0.0,0.1,-0.96868394613266,1.4424324035644531e-05,0.0001,3367.23828125,-2.847719006240368e-05,6766.756005859375,-1225.7996363883465,47.036438549190734
송파구,3,123,120000.0,-1177.6874456205528,2.7751200832426548e-05,0.0,0.1,-0.7040019929409027,0.580083966255188,0.0001,251.7239227294922,-0.0005520463921129704,554.4465881347656,-1225.7996363883465,48.11219076779366
송파구,3,123,140000.0,-1179.928969493257,4.5782653614878654e-06,0.0,0.1,-0.7736024498939514,0.31619536876678467,0.0001,1024.3287353515625,-8.10103490948677e-05,2196.699951171875,-1225.7996363883465,45.87066689508947
송파구,3,123,160000.0,-1179.3728773038883,1.2980075553059578e-05,0.0,0.1,-0.5564228296279907,0.7998309135437012,0.0001,69.46025085449219,9.924173355102538e-07,291.13516998291016,-1225.7996363883465,46.426759084458126
송파구,3,123,170000.0,-1177.7321590937843,7.606577128171921e-07,0.0,0.1,-0.694166648387909,0.7322014570236206,0.0001,683.3707885742188,-0.00010040872730314732,1385.3522827148438,-1225.7996363883465,48.067477294562195
송파구,3,42,20000.0,-1173.8190562112452,1.9175116904079914e-05,0.0,0.1,-0.5361982405185699,5.054473876953125e-05,0.0001,7269.7353515625,-7.879480253905057e-05,11331.77470703125,-1225.7996363883465,51.980580177101274
송파구,3,42,40000.0,-1184.199212050885,4.486646503210068e-07,0.0,0.1,-0.9096207439899444,7.331371307373047e-06,0.0001,8078.78515625,1.4268793165683746e-05,16000.54912109375,-1225.7996363883465,41.60042433746139
송파구,3,42,60000.0,-1238.4762831260202,7.196562364697456e-06,0.0,0.1,-0.6256326675415039,3.796815872192383e-05,0.0001,1252.8568115234375,-0.00019233459606766702,2419.9719970703127,-1225.7996363883465,-12.676646737673764
송파구,3,42,80000.0,-1275.2149721154847,6.239861249923706e-07,0.0,0.1,-1.006315040588379,2.205371856689453e-06,0.0001,15759.2939453125,2.3781321942806244e-06,30455.903125,-1225.7996363883465,-49.4153357271382
송파구,3,42,100000.0,-1173.8190562112452,7.898418698459864e-05,0.0,0.1,-0.6073656380176544,1.519918441772461e-05,0.0001,1990.5946044921875,-0.0007191403768956661,3443.5458251953123,-1225.7996363883465,51.980580177101274
송파구,3,42,120000.0,-1173.8190562112452,7.430673576891422e-06,0.0,0.1,-0.5856038570404053,2.3603439331054688e-05,0.0001,300.58038330078125,-0.00012379540130496024,605.8412353515625,-1225.7996363883465,51.980580177101274
