algorithm,district,baseline_reward,best_reward,final_reward,best_delta,final_delta,best_step,final_step,n_eval_points,history_path,station_count,active_station_count,demand_volume,forecast_rows,forecast_station_count,forecast_station_coverage,forecast_mae_rent,forecast_mae_return
REINFORCE,용산구,-104.37,-106.48133222642733,-106.48133222642733,-2.111332226427322,-2.111332226427322,400.0,500.0,11,logs/reinforce_interactive_reinforce_용산구/history.npy,101,87,1443059.0,4573242,87,0.8613861386138614,,
REINFORCE,은평구,-241.77,-279.2893256397252,-279.2893256397252,-37.51932563972517,-37.51932563972517,450.0,500.0,11,logs/reinforce_interactive_reinforce_은평구/history.npy,118,98,1746039.0,5151076,98,0.8305084745762712,,
REINFORCE,종로구,-371.95,-368.0460423878684,-368.0460423878684,3.9039576121315918,3.9039576121315918,200.0,500.0,11,logs/reinforce_interactive_reinforce_종로구/history.npy,120,100,2326126.0,5256900,100,0.8333333333333334,,
REINFORCE,중구,-244.27,-239.37280608151477,-239.37280608151477,4.897193918485243,4.897193918485243,500.0,500.0,11,logs/reinforce_interactive_reinforce_중구/history.npy,114,93,1716418.0,4888917,93,0.8157894736842105,,
REINFORCE,중랑구,-301.3,-272.6133861447405,-297.01504916854145,28.68661385525951,4.284950831458559,50.0,500.0,11,logs/reinforce_interactive_reinforce_중랑구/history.npy,111,96,2087258.0,5045952,96,0.8648648648648649,,
A2C,강남구,-531.69,-481.9703800122082,-481.9703800122082,49.71961998779187,49.71961998779187,50.0,500.0,11,logs/actor_critic_interactive_a2c_강남구/history.npy,201,179,2526424.0,9410209,179,0.8905472636815921,,
A2C,강동구,-662.9,-639.9002773072509,-639.9002773072509,22.99972269274906,22.99972269274906,50.0,500.0,11,logs/actor_critic_interactive_a2c_강동구/history.npy,140,123,3540785.0,6465618,123,0.8785714285714286,,
A2C,강북구,-35.24,-39.242990331520154,-39.242990331520154,-4.002990331520152,-4.002990331520152,50.0,500.0,11,logs/actor_critic_interactive_a2c_강북구/history.npy,73,59,934477.0,3101276,59,0.8082191780821918,,
A2C,강서구,-3549.03,-3499.131901762946,-3499.131901762946,49.898098237054,49.898098237054,50.0,500.0,11,logs/actor_critic_interactive_a2c_강서구/history.npy,232,201,9191249.0,10566570,201,0.8663793103448276,,
A2C,관악구,-143.52,-162.0902974600299,-162.0902974600299,-18.570297460029877,-18.570297460029877,50.0,500.0,11,logs/actor_critic_interactive_a2c_관악구/history.npy,98,71,1432418.0,3731760,71,0.7244897959183674,,
A2C,광진구,-899.53,-851.8882911758361,-851.8882911758361,47.64170882416386,47.64170882416386,100.0,500.0,11,logs/actor_critic_interactive_a2c_광진구/history.npy,110,90,3553277.0,4731300,90,0.8181818181818182,,
A2C,구로구,-847.08,-800.9307569009977,-800.9307569009977,46.14924309900232,46.14924309900232,50.0,500.0,11,logs/actor_critic_interactive_a2c_구로구/history.npy,129,115,3053386.0,6045320,115,0.8914728682170543,,
A2C,금천구,-357.09,-352.31773737307606,-352.4534016155477,4.772262626923919,4.63659838445227,100.0,500.0,11,logs/actor_critic_interactive_a2c_금천구/history.npy,84,76,1271514.0,3995168,76,0.9047619047619048,,
A2C,노원구,-800.31,-752.124905498524,-752.124905498524,48.18509450147599,48.18509450147599,50.0,500.0,11,logs/actor_critic_interactive_a2c_노원구/history.npy,170,152,4424799.0,7990640,152,0.8941176470588236,,
A2C,도봉구,-124.93,-134.33236685347046,-134.33236685347046,-9.402366853470454,-9.402366853470454,50.0,500.0,11,logs/actor_critic_interactive_a2c_도봉구/history.npy,103,76,1550924.0,3995244,76,0.7378640776699029,,
